word,true_stem,stem
ꯄꯟꯂꯣꯟ,ꯄꯟ
ꯂꯥꯏꯁꯪ,ꯂꯥꯏ
ꯅꯣꯡꯃꯩ,ꯅꯣꯡ
ꯃꯥꯡꯈꯤꯕꯒꯤ,ꯃꯥꯡ
ꯑꯔꯣꯏꯕꯗꯥ,ꯔꯣꯏ
ꯌꯨꯒꯤ,ꯌꯨ
ꯍꯣꯝ,ꯍꯣꯝ
ꯁꯥꯏꯟꯁ,ꯁꯥꯏꯟꯁ
ꯄꯔꯤ,ꯄ
ꯁꯥꯕ,ꯁꯥ
ꯑꯇꯣꯞꯄ,ꯇꯣꯞ
ꯑꯣꯏꯈꯤꯕꯥ,ꯑꯣꯏ
ꯃꯥꯏꯕꯕꯨ,ꯃꯥꯏ
ꯏꯃꯨꯡ,ꯃꯨꯡ
ꯃꯅꯨꯡ,ꯅꯨꯡ
ꯃꯔꯨꯞꯁꯤꯡꯅꯥ,ꯔꯨꯞ
ꯍꯔꯥꯎꯕꯥ,ꯍ
ꯐꯣꯡꯗꯣꯛꯂꯤ,ꯐꯣꯡ
ꯌꯥꯎꯔꯤꯕꯥ,ꯌꯥꯎ
ꯑꯃꯍꯦꯛꯇꯥ,ꯃ
ꯑꯗꯣꯝꯅꯥ,ꯗꯣꯝ
ꯄꯥꯝꯕꯤꯕꯔꯥ,ꯄꯥꯝ
ꯋꯥꯔꯦꯡ,ꯋꯥ
ꯁꯦꯡꯅꯥ,ꯁꯦꯡ
ꯍꯟꯗꯣꯛꯅꯕꯥ,ꯍꯟ
ꯇꯨꯈꯦꯡ,ꯇꯨ
ꯂꯥꯏꯈꯦꯡ,ꯂꯥꯏ
ꯈꯖꯥꯏ,ꯈꯖꯥꯏ
ꯈꯖꯤꯛ,ꯈ
ꯈꯪꯍꯟꯕꯒꯥ,ꯈꯪ
ꯆꯥꯅꯕ,ꯆꯥ
ꯄꯤꯖꯥꯕꯤꯌꯨ,ꯄꯤ
ꯅꯠꯇꯕ,ꯅꯠ
ꯄꯤꯔꯛꯈꯤꯗꯦ,ꯄꯤ
ꯃꯁꯤꯃꯛꯅꯁꯨ,ꯁꯤ
ꯁꯤꯖꯤꯟꯅꯈꯔꯦ,ꯁꯤ
ꯇꯟꯗꯅꯥ,ꯇꯟ
ꯈꯨꯗꯤꯡꯕꯨꯁꯨ,ꯈꯨ
ꯁꯥꯒꯠꯅꯈꯤꯕꯅꯤ,ꯁꯥ
ꯂꯩꯀꯗꯥ,ꯂꯩ
ꯉꯝꯂꯦ,ꯉꯝ
ꯉꯝꯂꯕꯅꯤ,ꯉꯝ
ꯊꯝꯂꯕꯥ,ꯊꯝ
ꯆꯠꯈꯤ,ꯆꯠ
ꯅꯤꯡꯗꯦ,ꯅꯤꯡ
ꯅꯤꯗꯦ,ꯅꯤ
ꯁꯨꯔꯝꯕꯥ,ꯁꯨ
ꯇꯦꯟꯒꯤ,ꯇꯦꯟ
ꯄꯥꯂꯦꯝ,ꯄꯥ
ꯊꯥꯡꯒꯥ,ꯊꯥꯡ
ꯁꯅꯥ,ꯁ
ꯂꯥꯕ,ꯂꯥ
ꯀꯨꯝꯂꯕꯥ,ꯀꯨꯝ
ꯆꯦꯟꯊꯕꯥ,ꯆꯦꯟ
ꯀꯅꯥꯗ,ꯀ
ꯏꯐꯝꯗ,ꯐꯝ
ꯃꯂꯦꯝꯒꯤ,ꯂꯦꯝ
ꯁꯤꯗ,ꯁꯤ
ꯐꯃꯤꯟꯅꯔꯒꯥ,ꯐ
ꯀꯥꯔꯕꯥꯔꯁꯨ,ꯀꯥ
ꯆꯪꯁꯤꯟꯈꯤꯕꯥ,ꯆꯪ
ꯄꯥꯔꯦꯡ,ꯄꯥ
ꯂꯦꯟꯅꯕ,ꯂꯦꯟ
ꯀꯥꯁꯤꯡꯁꯨ,ꯀꯥ
ꯀꯥꯅꯕꯕꯨ,ꯀꯥ
ꯊꯦꯡꯕ,ꯊꯦꯡ
ꯅꯨꯃꯤꯗꯥꯡꯗꯒꯤ,ꯅꯨ
ꯅꯨꯃꯤꯗꯥꯡꯐꯥꯎ,ꯅꯨ
ꯕꯥꯕꯥꯒꯤ,ꯕꯥ
ꯃꯟꯅꯕ,ꯃꯟ
ꯅꯦꯅꯦ,ꯅꯦ
ꯅꯤꯅꯤ,ꯅꯤ
ꯆꯠꯅꯔꯒꯅꯤ,ꯆꯠ
ꯏꯔꯦ,ꯏ
ꯁꯔꯀꯥꯟꯗꯒꯤ,ꯁ
ꯃꯥꯟꯅꯕꯅꯦ,ꯃꯥꯟ
ꯀꯦꯒꯦꯒꯤ,ꯀꯦ
ꯁꯤꯟꯅꯕꯒꯤ,ꯁꯤꯟ
ꯁꯤꯟꯅꯕꯤꯌꯨ,ꯁꯤꯟ
ꯁꯦꯝꯗꯦ,ꯁꯦꯝ
ꯀꯜꯂꯕꯅꯤ,ꯀꯜ
ꯊꯦꯡꯅꯔꯕꯁꯨ,ꯊꯦꯡ
ꯖꯤꯟꯗꯒꯤ,ꯖꯤꯟ
ꯁꯥꯔꯗꯨꯅꯥ,ꯁꯥ
ꯉꯥꯡꯕꯒꯤ,ꯉꯥꯡ
ꯃꯥꯟꯅꯔꯕꯥ,ꯃꯥꯟ
ꯊꯕꯛꯁꯨ,ꯊ
ꯍꯥꯟꯅꯗꯒꯤ,ꯍꯥꯟ
ꯀꯗ,ꯀ
ꯄꯨꯟꯁꯤꯟꯕꯥ,ꯄꯨꯟ
ꯑꯅꯥꯕ,ꯅꯥ
ꯍꯥꯡꯂꯨꯔꯕꯥ,ꯍꯥꯡ
ꯑꯗꯨꯃꯛ,ꯗꯨ
ꯃꯥꯈꯒꯤꯗꯤ,ꯃꯥꯈꯥ
ꯃꯥꯡꯍꯜꯂꯦ,ꯃꯥꯡ
ꯆꯠꯊꯈꯤꯕꯥ,ꯆꯠ
ꯄꯥꯢꯖꯥꯔꯤꯕꯥ,ꯄꯥꯢ
ꯍꯥꯢꯔꯤꯕꯁꯤꯗꯤ,ꯍꯥꯢ
ꯁꯅꯥꯁꯤꯡ,ꯁꯅꯥ
ꯉꯁꯤꯗꯒꯤ,ꯉꯁꯤ
ꯀꯔꯤꯒꯤ,ꯀ
ꯆꯠꯈꯔꯕꯒꯦ,ꯆꯠ
ꯄꯥꯢꯈꯠꯄꯥꯅꯤ,ꯄꯥꯢ
ꯂꯥꯢꯁꯪꯁꯤꯡꯒꯤ,ꯂꯥꯢ
ꯊꯨꯞꯆꯤꯟꯅꯕꯥ,ꯊꯨꯞ
ꯁꯥꯠꯂꯤꯕꯤ,ꯁꯥꯠ
ꯁꯦꯕꯥ,ꯁꯦ
ꯑꯃꯨꯛ,ꯃꯨꯛ
ꯑꯗꯨꯃꯛ,ꯗꯨ
ꯀꯅꯥꯒꯤ,ꯀ
ꯍꯥꯢꯕꯥ,ꯍꯥꯢ
ꯖꯥꯇꯤꯒꯤ,ꯖꯥ
ꯑꯅꯥꯕꯁꯤꯡ,ꯅꯥ
ꯇꯜꯂꯤꯗꯥ,ꯇꯜ
ꯂꯨꯝꯕꯨ,ꯂꯨꯝ
ꯊꯔꯝꯕꯥ,ꯊ
ꯍꯦꯛꯇ,ꯍꯦꯛ
ꯊꯤꯡꯈꯤꯕꯒꯤ,ꯊꯤꯡ
ꯍꯪꯒꯠꯅꯥ,ꯍꯪ
ꯇꯥꯔꯦꯠ,ꯇꯥ
ꯃꯤꯀꯧ,ꯃꯤ
ꯃꯤꯔꯝ,ꯃꯤ
ꯐꯝꯁꯤꯡꯒꯥ,ꯐꯝ
ꯊꯦꯝꯖꯤꯟꯗꯨꯅꯥ,ꯊꯦꯝ
ꯄꯦꯟꯅ,ꯄꯦꯟ
ꯔꯦꯅꯨꯒꯤ,ꯔꯦꯅꯨ
ꯐꯥꯁꯤ,ꯐꯥ
ꯑꯗꯨꯅꯗꯤ,ꯗꯨ
ꯑꯐꯕ,ꯐ
ꯈꯥꯢꯗꯣꯛꯂꯤꯕꯥ,ꯈꯥꯢ
ꯅꯥꯠꯀꯤ,ꯅꯥꯠ
ꯑꯁꯤꯒꯥ,ꯁꯤ
ꯏꯃꯥꯅ,ꯃꯥ
ꯑꯃꯃꯨꯛ,ꯑ
ꯃꯄꯥꯅꯥ,ꯄꯥ
ꯁꯦꯕ,ꯁꯦ
ꯍꯣꯡꯕꯒꯤ,ꯍꯣꯡ
ꯁꯦꯕꯥꯁꯨ,ꯁꯦ
ꯏꯕꯅꯤ,ꯏ
ꯐꯥꯕꯥ,ꯐꯥ
ꯃꯊꯪꯗ,ꯊꯪ
ꯇꯁꯤꯟꯅꯕꯥ,ꯇ
ꯍꯣꯡꯗꯣꯛꯂꯕꯥ,ꯍꯣꯡ
ꯂꯥꯏꯗꯥ,ꯂꯥꯏ
ꯁꯥꯔꯦ,ꯁꯥ
ꯊꯕꯛꯁꯤꯡꯁꯨ,ꯊ
ꯃꯤꯅꯤꯔ,ꯃꯤ
ꯁꯅꯅꯥ,ꯁ
ꯄꯥꯡꯅꯔꯛꯂꯤꯕꯥ,ꯄꯥꯡ
ꯁꯨꯈꯤꯗꯕꯅꯤ,ꯁꯨ
ꯈꯦꯟꯅꯕꯒꯤ,ꯈꯦꯟ
ꯍꯥꯢꯖꯥꯔꯒꯦ,ꯍꯥꯢ
ꯃꯥꯕꯨ,ꯃꯥ
ꯐꯔꯅꯤ,ꯐ
ꯏꯆꯥ,ꯆꯥ
ꯄꯦꯟꯅꯥ,ꯄꯦꯟ
ꯑꯊꯨꯕꯥ,ꯊꯨ
ꯇꯝꯖꯥꯕꯗ,ꯇꯝ
ꯃꯔꯦꯡ,ꯔꯦꯡ
ꯇꯗꯅꯥ,ꯇ
ꯄꯥꯟꯕꯗꯒꯤ,ꯄꯥꯟ
ꯁꯦꯟꯅꯕꯒꯤ,ꯁꯦꯟ
ꯀꯥꯟꯅꯍꯟꯕꯥ,ꯀꯥꯟ
ꯍꯥꯢꯔꯒꯥ,ꯍꯥꯢ
ꯄꯥꯕꯗꯥ,ꯄꯥ
ꯂꯦꯡꯕꯗꯥ,ꯂꯦꯡ
ꯈꯪꯍꯟꯅꯕ,ꯈꯪ
ꯐꯖꯥꯗꯦ,ꯐ
ꯃꯤꯗꯤ,ꯃꯤ
ꯍꯥꯏꯔꯦ,ꯍꯥꯏ
ꯀꯕꯤꯅ,ꯀ
ꯊꯦꯡꯅꯕꯒꯤ,ꯊꯦꯡ
ꯈꯥꯏꯗꯣꯛꯅꯕꯥ,ꯈꯥꯏ
ꯍꯥꯢꯕꯅꯤ,ꯍꯥꯢ
ꯄꯤꯁꯤꯟꯅꯕꯒꯤ,ꯄꯤ
ꯊꯕꯤ,ꯊ
ꯍꯥꯢꯗꯦ,ꯍꯥꯢ
ꯐꯪꯂꯦ,ꯐꯪ
ꯍꯥꯏꯕꯒꯤ,ꯍꯥꯏ
ꯄꯥꯢꯈꯠꯂꯦ,ꯄꯥꯢ
ꯐꯪꯍꯟꯕꯤꯌꯨ,ꯐꯪ
ꯄꯥꯔꯦ,ꯄꯥ
ꯃꯅꯨꯡꯗꯗꯥ,ꯅꯨꯡ
ꯈꯟꯈꯤꯕꯒꯦ,ꯈꯟ
ꯇꯈꯤꯕꯗꯨ,ꯇ
ꯃꯤꯑꯣꯢꯁꯤꯡꯅꯥ,ꯃꯤ
ꯃꯈꯥꯗꯁꯨ,ꯈꯥ
ꯄꯥꯏꯗꯨꯅꯥ,ꯄꯥꯏ
ꯈꯖꯥꯢ,ꯈꯖꯥꯢ
ꯏꯔꯨꯕꯒꯤ,ꯏ
ꯀꯕꯤꯅꯥ,ꯀ
ꯍꯥꯢꯗꯨꯅꯥ,ꯍꯥꯢ
ꯃꯨꯕꯥ,ꯃꯨ
ꯆꯥꯏꯔꯤꯕꯥ,ꯆꯥꯏ
ꯀꯦꯒꯦ,ꯀꯦ
ꯂꯥꯏꯒꯥ,ꯂꯥꯏ
ꯆꯥꯏꯔꯕꯥ,ꯆꯥꯏ
ꯀꯅꯥꯕꯨ,ꯀ
ꯀꯦꯕꯤꯕ,ꯀꯦ
ꯊꯕꯗꯒꯤ,ꯊ
ꯃꯗꯨꯅꯥ,ꯃ
ꯅꯥꯄꯤꯗꯤ,ꯅꯥ
ꯆꯥꯃꯤꯟꯅꯕ,ꯆꯥ
ꯆꯥꯏꯔꯛꯈꯤꯕꯥ,ꯆꯥꯏ
ꯃꯔꯨꯞ,ꯔꯨꯞ
ꯊꯈꯤꯒꯅꯤ,ꯊ
ꯏꯅꯈꯤ,ꯏ
ꯊꯝꯈꯤ,ꯊꯝ
ꯆꯥꯔꯤ,ꯆꯥ
ꯀꯤꯗꯨꯅꯥ,ꯀꯤ
ꯁꯥꯟꯅꯈꯤ,ꯁꯥꯟ
ꯐꯪꯒꯅꯤ,ꯐꯪ
ꯑꯣꯏꯅ,ꯑꯣꯏ
ꯂꯥꯛ,ꯂꯥꯛ
ꯍꯥꯏꯕꯗꯨꯅꯤ,ꯍꯥꯏ
ꯃꯍꯧꯁꯥꯗ,ꯍꯧ
ꯅꯨꯡꯁꯤꯕꯒꯤ,ꯅꯨꯡ
ꯂꯩꯇꯦ,ꯂꯩ
ꯃꯍꯧꯁꯥꯒꯤ,ꯍꯧ
ꯒꯨꯟ,ꯒꯨꯟ,
ꯑꯁꯤꯗ,ꯁꯤ
ꯂꯩꯕꯗꯤ,ꯂꯩ
ꯑꯣꯏꯒꯅꯤ,ꯑꯣꯏ
ꯂꯣꯏꯁꯤꯜꯂꯝꯕ,ꯂꯣꯏ
ꯃꯍꯧꯁꯥꯒꯤꯁꯨ,ꯍꯧ
ꯃꯥꯡꯗ,ꯃꯥꯡ
ꯃꯗꯨꯁꯨ,ꯗꯨ
ꯇꯣꯏꯅꯥꯂꯩꯕꯅꯤ,ꯇꯣꯏ
ꯃꯤꯑꯣꯢꯕ,ꯃꯤ
ꯃꯍꯧꯁꯥꯒꯤꯗꯃꯛꯇꯗꯤ,ꯍꯧ
ꯁꯥꯟꯅꯕ,ꯁꯥꯟ
ꯅꯥꯠꯀꯤꯅꯤ,ꯅꯥꯠ
ꯂꯣꯏꯗꯦ,ꯂꯣꯏ
ꯅꯨꯡꯉꯥꯢ,ꯅꯨꯡ,
ꯊꯣꯛꯇꯦ,ꯊꯣꯛ
ꯂꯩꯕꯥꯛꯀꯤ,ꯂꯩ
ꯇꯦꯡꯕꯅꯤ,ꯇꯦꯡ
ꯑꯣꯏꯕꯒꯤ,ꯑꯣꯏ
ꯅꯨꯡꯉꯥꯢꯕ,ꯅꯨꯡ
ꯑꯗꯨꯗꯤ,ꯗꯨ
ꯁꯨꯕ,ꯁꯨ
ꯁꯪꯂꯕꯅꯤ,ꯁꯪ
ꯁꯪꯕ,ꯁꯪ
ꯑꯇꯣꯞꯄ,ꯇꯣꯞ
ꯅꯨꯡꯉꯥꯢꯕꯒꯤ,ꯅꯨꯡ
ꯄꯥꯛꯊꯣꯛꯂꯕ,ꯄꯥꯛ
ꯄꯥꯛꯊꯣꯛꯂꯨꯕꯗꯤ,ꯄꯥꯛ
ꯃꯣꯏ,ꯃꯣꯏ
ꯇꯩꯕꯗꯤ,ꯇꯩ
ꯅꯤꯡꯇꯝ,ꯅꯤꯡ
ꯑꯍꯥꯟꯕꯗꯤ,ꯍꯥꯟ
ꯑꯁꯤꯗꯤ,ꯁꯤ
ꯑꯣꯏꯕꯅ,ꯑꯣꯏ
ꯅꯨꯡꯉꯥꯢꯕꯗꯤ,ꯅꯨꯡ
ꯄꯥꯛꯊꯣꯛꯇꯦ,ꯄꯥꯛ
ꯄꯥꯡꯊꯣꯛꯄꯥ,ꯄꯥꯡ
ꯈꯣꯡꯅ,ꯈꯣꯡ
ꯇꯧꯕ,ꯇꯧ
ꯂꯩꯕꯥꯛꯅꯤ,ꯂꯩ
ꯑꯁꯨꯝꯅ,ꯁꯨꯝ
ꯊꯣꯏꯗꯣꯛꯅ,ꯊꯣꯏ
ꯇꯨꯝꯕꯗꯤ,ꯇꯨꯝ
ꯅꯥꯏꯇꯣꯝ,ꯅꯥꯏ
ꯅꯥꯏꯇꯣꯝꯕꯨ,ꯅꯥꯏ
ꯁꯣꯏꯗꯅꯕꯅꯤ,ꯁꯣꯏ
ꯑꯗꯨꯒ,ꯗꯨ
ꯏꯪ,ꯏꯪ
ꯂꯩꯔꯕ,ꯂꯩ
ꯑꯣꯏꯊꯣꯛꯇꯦ,ꯑꯣꯏ
ꯑꯗꯨꯅ,ꯗꯨ
ꯃꯁꯤꯒꯤꯗꯃꯛ,ꯁꯤ
ꯑꯣꯢꯔꯣꯢꯗꯕꯅꯤ,ꯑꯣꯢ
ꯃꯁꯛꯅꯤ,ꯁꯛ
ꯇꯨꯝꯕꯗꯨꯗꯤ,ꯇꯨꯝ
ꯄꯥꯡꯊꯣꯛꯅꯕꯅꯤ,ꯄꯥꯡ
ꯃꯣꯏꯕ,ꯃꯣꯏ
ꯃꯍꯧꯁꯥ,ꯍꯧ
ꯂꯥꯏꯗꯅꯕ,ꯂꯥꯏ
ꯑꯣꯏꯅꯕꯗꯤ,ꯑꯣꯏ
ꯇꯨꯝꯕꯗꯨ,ꯇꯨꯝ
ꯄꯥꯡꯊꯣꯛꯂꯕ,ꯄꯥꯡ
ꯃꯣꯏꯒꯤꯗꯃꯛ,ꯃꯣꯏ
ꯅꯤꯡꯇꯝꯕꯥ,ꯅꯤꯡ
ꯒꯨꯟꯗꯅ,ꯒꯨꯟ
ꯑꯣꯏꯅꯕꯒꯤ,ꯑꯣꯏ
ꯃꯣꯏꯗꯤ,ꯃꯣꯏ
ꯁꯥꯡꯂꯝꯕ,ꯁꯥꯡ
ꯄꯥꯛꯊꯣꯛꯄꯅꯤ,ꯄꯥꯛ
ꯃꯍꯧꯁꯥꯒꯤꯗꯃꯛ,ꯍꯧ
ꯇꯨꯝꯕ,ꯇꯨꯝ
ꯑꯣꯏꯕꯗꯤ,ꯑꯣꯏ
ꯃꯁꯛꯇꯨ,ꯁꯛ
ꯄꯥꯡꯊꯣꯛꯅꯕ,ꯄꯥꯡ
ꯄꯣꯛꯄꯗꯤ,ꯄꯣꯛ
ꯃꯁꯛꯇꯤ,ꯁꯛ
ꯂꯣꯏꯕꯅꯤ,ꯂꯣꯏ
ꯂꯅꯥꯢꯒꯤ,ꯂ
ꯁꯦꯝꯃꯤ,ꯁꯦꯝ
ꯁꯝꯕꯜꯗꯤ,ꯁꯝ
ꯂꯩꯍꯜꯂꯨꯕꯗꯒꯤ,ꯂꯩ
ꯈꯜꯂꯤꯔꯤꯕꯥ,ꯈꯜ
ꯍꯥꯏꯔꯤ,ꯍꯥꯏ
ꯈꯪꯗꯣꯛꯄꯥ,ꯈꯪ
ꯃꯇꯧꯁꯤꯡꯁꯤ,ꯇꯧ
ꯂꯩ,ꯂꯩ
ꯌꯦꯡꯕ,ꯌꯦꯡ
ꯍꯦꯟꯅꯥꯕꯥꯒꯤ,ꯍꯦꯟ
ꯈꯪꯒꯠꯄꯥ,ꯈꯪ
ꯀꯪꯂꯥ,ꯀꯪ
ꯄꯥꯛꯇꯥ,ꯄꯥꯛ
ꯅꯪꯕꯨ,ꯅꯪ
ꯐꯥꯅꯕꯥ,ꯐꯥ
ꯆꯩꯒꯥꯕ,ꯆꯩ
ꯁꯥꯏꯐꯝꯗꯥ,ꯁꯥꯏ
ꯄꯣꯊꯣꯛꯁꯨ,ꯄꯣ
ꯑꯁꯩꯕꯥꯗ,ꯁꯩ
ꯑꯁꯨꯕꯥ,ꯁꯨ
ꯅꯥꯞꯄꯥꯗꯅꯤ,ꯅꯥꯞ
ꯍꯥꯏꯕꯗꯤ,ꯍꯥꯏ
ꯌꯥꯡꯕ,ꯌꯥꯡ
ꯑꯃꯥꯑꯣꯢꯕꯗꯥ,ꯃꯥ
ꯅꯣꯏꯕ,ꯅꯣꯏ
ꯑꯣꯏꯁꯤꯟꯕ, ꯑꯣꯏ
ꯂꯣꯏꯕꯥ,ꯂꯣꯏ
ꯄꯥꯅꯕꯅꯤ,ꯄꯥ
ꯁꯦꯟꯅꯕꯥ,ꯁꯦꯟ
